V1;V2;V3;V4
1989;110.963993338612;109.550220810057;112.377765867167
1990;108.674110065000;107.22466499314;110.123555136859
1991;117.826969349425;116.354044224102;119.299894474748
1992;118.541590581407;117.091825849136;119.991355313678
1993;115.212628371922;113.764716826543;116.660539917301
1994;112.255069129647;110.80541009183;113.704728167463
1995;115.789817616377;114.332515492809;117.247119739945
1996;118.546278711846;117.048419131397;120.044138292295
1997;110.551855499211;109.045295396986;112.058415601436
1998;116.225694477814;114.736304877810;117.715084077817
1999;116.093926810689;114.604609671146;117.583243950232
2000;113.734870962073;112.210988159198;115.258753764947
2001;118.519763440342;116.912027059299;120.127499821385
2002;111.898510349877;110.290835611899;113.506185087855
2003;111.802646557184;110.217560646204;113.387732468164
2004;116.256298208675;114.682458151766;117.830138265583
2005;117.340456354016;115.708446866877;118.972465841154
2006;120.063470535239;118.349886087102;121.777054983376
